Date,Quarter,USCPI_UrbanB8284,USCPI_UrbanB67,USCPI_FoodBev,USCPI_Housing,USCPI_Transportation,US_Total_Employment,Federal funds effective rate,Prime Rate,13Mos_Libor_USD,Total Consumer Debt,Total Consumer Revolving Debt,Total Consumer Non-Revolving Debt,US GDP Y:     Gross domestic product,US GDP C: Personal consumption expenditures,US GDP C:   Goods,US GDP C:     Durable goods,US GDP C:     Nondurable goods,US GDP C:   Services,US GDP I: Gross private domestic investment,US GDP I:   Fixed investment,US GDP I:     Nonresidential,US GDP I:       Structures,US GDP I:       Equipment,US GDP I:       Intellectual property products,US GDP I:     Residential,US GDP I:   Change in private inventories,US GDP X: Net exports of goods and services,US GDP X:   Exports,US GDP X:     Goods,US GDP X:     Services,US GDP M:   Imports,US GDP M:     Goods,US GDP M:     Services,US GDP G: Government consumption expenditures and gross investment,US GDP G:   Federal,US GDP G:     National defense,US GDP G:     Nondefense,US GDP G:   State and local,US GDP Res: Residual,SP500,SP500 CHANGE,SP500 AVG DAILY CHANGE,SP500 DAILY GAP,SP500 DAILY NON-GAP CHANGE,SP500 AVG DAILY INTRA DAY VOLATILITY,SP500 QTRLY RETURN,SP500 QTRLY AVG VOLUME,US_HousingPrices_Base80,LoanDel_AllRE,LoanDel_AllCons,LoanDel_Leases,LoanDel_C&I,LoanDel_Agr,LoanDel_All,LoanChargOff_AllRE,LoanChargOff_AllCons,LoanChargOff_Leases,LoanChargOff_C&I,LoanChargOff_Agr,LoanChargOff_All,FX_USCAD,US_TotalReserves,US_MonetaryBase,Ttl_Loans_atFincos,Cons_Loans_atFincos,RE_Loans_atFincos,Biz_Loans_atFincos,All_Mtgs,Res_Mtgs,Murb_Mtgs,Ind_Mtgs,Farm_Mtgs,Ttl_ConsCrd,Ttl_Cons_Rvlving,Ttl_Cons_NonRvlving,Stud_Loans,Auto_Loans,Ttl_IndCapUtil,OECD_USBCI,OECD_USCLI,OECD_USCCI,US_NonfarmEmployees,US_CivilianLaborForce,US_LaborParticipation,US_Employed,US_Employment Ratio,US_FTEmployed,US_PTEmployed,US_UnemploymentLevel,US_UnemploymentRate,US_AverageWeeksUnempl,US_MedianWeeksUnempl,US_NewEntrantsUnempl,US_NotInLaborForce,US_NotInLaborForceSearching,US_NotInLaborForceDiscouraged,Weekly_Med_Earnings_CurDol,Weekly_Med_Earnings_CnstDol,LabProd_Q2Qchange,Unit Lab Cost Q2Q Chg,Real Hrly Comp Q2Q Chg,Nonfarm Lab Productivity Q2Q Chg,Nonfarm Unit Labor Cost Q2Q Change,Nonfarm Hourly Comp Q2Q Change,Import/Export Price All Commodities,Import/Export Price Index Fuels,Import/Export Price Index (ex fuels),Import/Export Price Index,Personal Saving % of Income,Personal Income Real (2012),Per Capita Personal Income (2012),US Population
6/30/2005,2005Q2,194.5,582.6,190.9,195.5,171.8,133957,3.04,6.01,3.51625,2247833.43,814181.65,1433651.78,14839782,10047766,3382701,1009284,2375259,6662814,2622793,2603795,1702035,465395,748219,492186,884989,24685,-874655,1526996,1084922,441953,2401651,2046178,355397,3009466,1094529,708685,385963,1918805,38198,1195.5,0.009713,0.000173,-0.000229,0.000405,0.010562,0.009713,506.818906,352.55,1.37 ,2.85 ,1.33 ,1.50 ,1.32 ,1.57 ,0.08 ,2.38 ,0.23 ,0.24 ,0.13 ,0.47 ,1.2402,11158,780669,1831855.69,764988.55,517245.25,549621.89,11341309.66,8849602.003,639055.3161,1752479.197,100173.141,2232389.1,807870.12,1424518.99,,809580.86,102.2786,100.1333,2005Q2,100.5332,133957,149238,66.1,141714,62.7,117305,24350,7524,5,17.9,9,650,76673,1583,476,643,331,-1.8,3.1,-1.5,-1.1,3.3,-0.6,109.2,178,104.9,92.3,2.9,10818.5,36571,295824
9/30/2005,2005Q3,198.8,595.4,191.8,197,186.5,134590,3.62,6.59,4.065,2271633.28,819651.75,1451981.53,14972054,10145297,3414931,1029022,2384109,6728098,2657458,2649330,1737517,463374,775408,499095,894690,7921,-886776,1530666,1086248,444286,2417442,2056244,360950,3019418,1102913,712144,390874,1919995,53985,1234.25,0.032413,0.000514,0.000069,0.000445,0.009333,0.032413,558.525469,360.56,1.38 ,2.80 ,1.21 ,1.47 ,1.24 ,1.56 ,0.07 ,3.01 ,0.80 ,0.21 ,0.04 ,0.59 ,1.1777,11705,787943,1842079.53,770467.55,529079.94,542532.04,11736284.16,9167602.055,655669.1805,1810541.565,102471.364,2278384.66,818698.94,1459685.72,,825210.61,99.6311,100.7698,2005Q3,100.0009,134590,149954,66.1,142401,62.8,117355,25096,7553,5,17.9,8.4,607,76739,1438,362,649,329,3.6,1.7,-0.7,3.2,1.8,-1,114.4,222.1,104.8,91.5,2.7,10798.2,36406,296606
12/31/2005,2005Q4,196.8,589.4,193.2,198.3,172.7,135168,4.16,7.15,4.53625,2290928.13,829518.36,1461409.78,15066597,10175424,3407727,998224,2417505,6766705,2743846,2661221,1750939,468157,786158,496970,892932,97445,-919792,1574891,1118537,456231,2494683,2126106,368396,3021766,1103261,706781,396574,1922059,36822,1254.75,0.016609,0.000284,-0.000087,0.000371,0.009952,0.016609,492.036667,366.28,1.41 ,2.69 ,1.21 ,1.44 ,1.14 ,1.54 ,0.02 ,3.04 ,0.59 ,0.31 ,-0.01 ,0.57 ,1.1615,10046,803124,1910924.78,781358.94,565038.6,564527.23,12116705.25,9449624.143,675262.0825,1887051.153,104767.876,2320554.88,856682.65,1463872.23,,823097.3,100.0282,100.5898,2005Q4,100.5183,135168,150030,66,142752,62.8,118129,24674,7279,4.9,17.5,8.7,633,77394,1589,451,659,333,0.8,2.2,-0.8,0.3,2.2,-1.2,112.3,202.4,105.1,91,3.7,11025.5,37084,297311
3/31/2006,2006Q1,199.8,598.6,194.5,201.3,177.4,136059,4.59,7.53,5,2385807.89,888243.58,1497564.31,15267026,10288892,3478259,1037859,2442281,6807418,2784583,2711214,1809670,485664,821104,503141,884566,102673,-912971,1634742,1167337,467358,2547713,2160705,386606,3060135,1131865,722491,409470,1930845,32129,1303.25,0.038653,0.000626,-0.000106,0.000735,0.00902,0.038653,574.624516,370.01,1.36 ,2.78 ,1.25 ,1.40 ,1.13 ,1.51 ,0.09 ,1.78 ,0.23 ,0.21 ,0.11 ,0.36 ,1.1573,9138,810146,1927469.18,774480.04,573280.07,579709.07,12522141.39,9778591.344,684104.6175,1953868.032,105577.393,2337585.21,841578.08,1496007.13,480966.98,781942.96,101.5349,100.3216,2006Q1,100.6902,136059,150813,66.2,143741,63.1,119175,24542,7072,4.7,17.1,8.7,636,77161,1468,451,668,336,3.2,5.3,6.4,3.1,5.2,6.2,112.7,201.5,105.7,91.1,4.2,11196.8,37580,297950
6/30/2006,2006Q2,202.9,607.8,195.1,203.7,187.3,136337,4.99,8.02,5.48063,2395813.18,897483.31,1498329.88,15302705,10341016,3483329,1038292,2447242,6855184,2766628,2696588,1841323,500688,830516,511824,840306,92741,-908786,1666697,1187007,479599,2575483,2187223,387917,3059225,1124076,721461,402711,1938248,32026,1279.5,-0.018224,-0.000259,0.000174,-0.000433,0.012013,-0.018224,375.153968,373.07,1.38 ,2.92 ,1.17 ,1.29 ,1.06 ,1.51 ,0.09 ,1.92 ,0.10 ,0.27 ,0.06 ,0.39 ,1.1137,9989,812366,1962151.18,785318.65,581770.92,595061.61,12922296.12,10107036.67,693022.4294,2015841.61,106395.401,2349611.42,859215.88,1490395.55,487126.04,774149.38,104.4874,100.0501,2006Q2,100.3929,136337,151354,66.2,144353,63.1,119615,24774,7001,4.6,16.6,7.3,646,77317,1584,481,659,326,-0.6,0.2,-4,-0.5,0.6,-3.5,117.3,230.2,107.2,91.2,4,11214,37549,298653
9/30/2006,2006Q3,202.9,607.9,196.7,205,180.6,136870,5.25,8.25,5.37,2426813.23,907814.35,1518998.89,15326368,10403798,3513964,1053159,2461263,6886717,2755954,2679271,1872888,510136,837236,528013,793783,97291,-932463,1667245,1191450,475738,2599709,2215964,383624,3054837,1113944,706919,407146,1944513,32592,1345.4,0.051504,0.000816,0.000216,0.000598,0.009764,0.051504,459.356984,376.88,1.49 ,2.96 ,1.32 ,1.25 ,1.07 ,1.58 ,0.08 ,2.19 ,0.09 ,0.30 ,0.10 ,0.43 ,1.1161,9159,810401,2006515.6,816345.07,600607.02,589563.52,13265584.64,10367178.44,703068.4766,2088116.532,107221.188,2411440.86,876503.67,1534937.18,510548.46,792096.1,103.7817,99.73853,2006Q3,100.4969,136870,151662,66.1,144815,63.1,120308,24549,6847,4.5,17.1,8,612,77757,1299,325,675,332,-1.7,2.4,-3,-1.3,1.9,-3,116.2,216.3,107.8,91.3,3.6,11272.7,37644,299452
12/31/2006,2006Q4,201.8,604.5,197.4,204.8,175.4,137263,5.24,8.25,5.36,2456715.7,923876.78,1532838.92,15456928,10504481,3563194,1068013,2495483,6937420,2702487,2660267,1892735,510321,841696,543091,756851,55729,-865977,1737082,1226374,510532,2603059,2199575,402729,3079918,1130172,728477,401762,1952944,30538,1428.5,0.061766,0.000959,0.00007,0.000892,0.007864,0.061766,386.361429,378.25,1.70 ,2.94 ,1.28 ,1.15 ,1.16 ,1.69 ,0.06 ,2.14 ,0.20 ,0.34 ,0.14 ,0.44 ,1.1532,8479,826731,2031690.19,832937.09,600457.43,598295.68,13529329.63,10531732.19,718386.3645,2171163.511,108047.563,2456715.7,923876.78,1532838.92,521382.49,784975.12,102.2975,99.40916,2006Q4,100.8663,137263,152732,66.4,145970,63.4,120793,25226,6762,4.4,16.1,7.5,586,77376,1252,274,682,338,3,3.9,8.7,3.4,3.7,9,115.1,204.3,108.1,91.5,3.7,11418.3,38038,300178
3/31/2007,2007Q1,205.352,615.145,200.869,208.08,180.346,137796,5.26,8.25,5.35,2484433.18,938463.58,1545969.6,15493328,10563261,3588229,1082376,2503947,6970971,2683893,2658090,1926821,529386,853418,547698,722749,27471,-872873,1761352,1238954,522176,2634225,2230084,403632,3084455,1123462,722460,401075,1964562,39800,1431.25,0.001925,0.000063,0.000181,-0.000118,0.010484,0.001925,322.632459,377.99,1.77 ,2.93 ,1.21 ,1.20 ,1.22 ,1.74 ,0.15 ,2.36 ,0.21 ,0.37 ,0.08 ,0.49 ,1.1682,7434,820914,2025076.42,831085.9,596240.78,597749.75,13822957.65,10761204.32,737394.472,2215167.507,109191.356,2440172.32,892673.32,1547499,544988.54,780933.91,103.8867,99.62779,2007Q1,100.8138,137796,153051,66.2,146320,63.3,121168,25144,6731,4.4,17.8,9.1,615,77982,1385,381,693,340,1,9,6,1.1,8.9,5.9,115.9,209.6,108.4,91.1,4.4,11512.3,38269,300823
6/30/2007,2007Q2,208.352,624.129,202.885,210.649,189.064,138085,5.25,8.25,5.36,2519121.04,953925.09,1565195.95,15582085,10582839,3596629,1093735,2498651,6982089,2713495,2670608,1969581,558798,865278,551393,694270,56448,-862335,1788421,1256536,531644,2650756,2241451,408682,3112464,1141850,738741,403178,1973809,27649,1515.5,0.058865,0.000916,0.000064,0.000852,0.009529,0.058865,251.803651,373.77,2.00 ,2.99 ,1.06 ,1.18 ,1.35 ,1.87 ,0.19 ,2.31 ,0.17 ,0.42 ,0.10 ,0.52 ,1.0651,8736,827158,2027405.17,852963.87,579706.45,594734.85,14118522.98,10966730.68,750495.2238,2290951.234,110345.847,2476965.71,916374.03,1560591.68,549270.83,785893.92,107.0508,99.92447,2007Q2,100.8107,138085,153041,66,146063,63,120689,25435,6979,4.6,16.5,7.7,640,78671,1454,401,690,332,2.2,-1.2,-3.4,1.7,-1.9,-4.5,120,238.2,109.5,91.3,3.8,11486.6,38094,301528
9/30/2007,2007Q3,208.49,624.543,205.279,210.865,184.532,138123,4.94,8.03,5.22875,2566995.36,975499.77,1591495.59,15666738,10642483,3619256,1107117,2506520,7019019,2686106,2655360,2000480,585607,869693,553291,650137,43434,-819391,1842129,1290455,551402,2661519,2248242,412499,3126544,1151723,743400,408398,1977801,21204,1538,0.014847,0.000298,-0.000165,0.000467,0.016775,0.014847,134.999048,372.61,2.39 ,3.20 ,1.17 ,1.20 ,1.12 ,2.14 ,0.22 ,2.45 ,0.26 ,0.46 ,0.11 ,0.59 ,1.0267,8728,827418,2062317.38,885527.97,583883.66,592905.75,14427940.75,11163411.31,775866.1911,2377149.308,111513.935,2555552.45,946115.02,1609437.43,577380.57,808948.16,106.7355,99.47825,2007Q3,100.4498,138123,153414,66,146244,62.9,121232,24996,7170,4.7,16.3,8.7,668,79047,1268,276,695,334,4.1,-2.1,-0.7,4.1,-2.3,-0.9,121.8,250,110.1,91.9,3.5,11532.1,38144,302334
12/31/2007,2007Q4,210.036,629.174,206.936,210.933,189.984,138411,4.24,7.33,4.7025,2609476.53,1001625.3,1607851.24,15761967,10672794,3626397,1115398,2504472,7042299,2653056,2629886,2031332,600597,874843,564986,596079,34962,-739992,1897391,1318420,578648,2637382,2224395,411992,3150762,1170845,756753,414159,1982534,14204,1477.25,-0.039499,-0.000552,0.000225,-0.000776,0.016694,-0.039499,125.179219,369.91,2.91 ,3.40 ,1.33 ,1.31 ,1.12 ,2.47 ,0.34 ,2.80 ,0.33 ,0.65 ,0.10 ,0.79 ,1.0021,8098,837192,2069413.75,896985.06,574423.06,598005.63,14631718.36,11271528.72,808076.3365,2439431.042,112682.254,2609476.53,1001625.3,1607851.24,589489.28,801159.51,104.5498,99.1896,2007Q4,99.81396,138411,153918,66,146273,62.7,121609,24745,7645,5,16.6,8.4,679,79238,1344,363,700,334,2.5,1.1,-1.3,3.1,1.3,-0.5,127.3,290.3,111.4,92.2,3.6,11542.1,38085,303062
3/31/2008,2008Q1,213.528,639.636,209.692,214.389,195.189,138283,2.61,5.66,2.68813,2645603.64,1016772,1628831.64,15671383,10644429,3566817,1079341,2485061,7075243,2583253,2589121,2039393,603284,870010,575533,548658,1626,-732104,1913508,1343438,569694,2645612,2221968,422424,3157702,1188447,769156,419348,1971446,3937,1324,-0.10374,-0.00168,0.00025,-0.001931,0.025252,-0.10374,40.023934,360.6,3.55 ,3.49 ,1.39 ,1.45 ,1.10 ,2.86 ,0.72 ,2.96 ,0.40 ,0.71 ,0.09 ,0.98 ,1.0029,9885,832999,2062701.43,891590.43,574181.54,596929.46,14771291.67,11348386.5,822364.1841,2482393.07,118147.919,2602007.64,972523.43,1629484.21,619315.89,797723.06,104.029,99.06485,2008Q1,98.99308,138283,153908,66.1,146086,62.7,121426,24715,7822,5.1,16.5,8.7,704,79087,1352,401,719,339,-2.9,6.9,-0.6,-3.1,7.4,-0.4,133.5,329,113.9,92.2,4,11547,38020,303707
6/30/2008,2008Q2,218.815,655.474,213.383,217.941,211.787,137716,2,5,2.78313,2662409.52,1019322.07,1643087.46,15752308,10661689,3561465,1071654,2488898,7098118,2536403,2567918,2043528,613273,859533,581146,523807,-25438,-647119,1974664,1388289,586070,2621783,2200362,420142,3184542,1213585,783050,430632,1972829,952,1281,-0.032477,-0.000458,-0.00039,-0.000065,0.015646,-0.032477,43.055625,349.27,4.20 ,3.56 ,1.54 ,1.76 ,1.10 ,3.32 ,1.08 ,3.26 ,0.65 ,0.84 ,0.16 ,1.28 ,1.0166,10148,840175,2043490.95,886753.54,543671.32,613066.08,14808306.25,11327762.01,835965.7992,2520964.307,123614.128,2620452.79,983250.07,1637202.72,626605.61,798137.75,105.0136,99.36214,2008Q2,98.00066,137716,154313,66.1,145737,62.4,120388,25416,8575,5.6,17.1,9,786,79314,1558,420,719,332,4,-3.2,-4.5,3.9,-3.4,-4.7,145.5,423.7,116.5,93.2,5.5,11733,38545,304396
9/30/2008,2008Q3,218.783,655.376,217.672,218.184,203.861,136783,1.81,5,4.0525,2657389.13,1012560.94,1644828.19,15667032,10581856,3486823,1035507,2452586,7094701,2485549,2503003,2005380,609552,832513,574379,497233,-19289,-626822,1961163,1390195,570580,2587985,2161661,425507,3209489,1228784,800864,427915,1982489,4975,1169,-0.087432,-0.001158,-0.000437,-0.000723,0.025865,-0.087432,32.235469,346.07,4.87 ,3.71 ,1.58 ,1.75 ,1.16 ,3.72 ,1.47 ,3.70 ,0.69 ,1.03 ,0.20 ,1.56 ,1.0582,67514,909687,1999993.49,879803.09,525315.31,594875.1,14799186.35,11290666.08,847487.0426,2531892.612,129140.613,2643813.3,983028.26,1660785.04,660584.2,801676.41,97.7786,98.0405,2008Q3,97.86283,136783,154570,66,145076,61.9,119724,25327,9494,6.1,18.6,10.2,815,79790,1604,467,720,329,0.9,2.6,-2.6,1,2.6,-2.5,137.8,346.3,116.8,93.3,4.7,11514.3,37732,305158
12/31/2008,2008Q4,210.228,629.751,218.839,216.073,164.628,134842,0.16,3.61,1.425,2643788.96,1003997.04,1639791.92,15328027,10483376,3380534,959288,2429182,7103826,2246441,2337751,1888597,595498,735653,570302,448838,-87581,-640430,1852397,1279819,572509,2492828,2059270,432876,3230492,1244312,812880,431410,1987847,-19298,900,-0.230111,-0.003083,0.000468,-0.003551,0.061099,-0.230111,117.478438,348.62,6.04 ,4.27 ,1.81 ,2.56 ,1.45 ,4.75 ,1.73 ,4.28 ,0.46 ,1.27 ,0.23 ,1.89 ,1.2337,783631,1666365,1919034.97,843686.96,502038.53,573309.49,14730869.34,11188160.16,854326.679,2553682.226,134700.277,2643788.96,1003997.04,1639791.92,675952.58,777275.61,93.1798,96.02766,2008Q4,96.9239,134842,154655,65.8,143369,61,117096,26333,11286,7.3,19.9,10.5,803,80380,1908,642,728,342,-2.5,6.6,14,-2.5,7,14.4,114.5,153.9,112.7,92.7,6.4,11605.8,37949,305827
3/31/2009,2009Q1,212.709,637.182,218.794,217.374,169.647,132549,0.18,3.25,1.19188,2621677.85,984418.45,1637259.4,15155940,10459698,3381387,960971,2428281,7078691,1986845,2151889,1746323,551279,653651,554723,405314,-179018,-543762,1702730,1146393,555604,2246492,1831384,412753,3266177,1260113,815369,444775,2007716,-23674,794.75,-0.116944,-0.001749,-0.000584,-0.001169,0.038746,-0.116944,43.404098,339.41,7.18 ,4.67 ,2.15 ,3.20 ,1.75 ,5.64 ,1.63 ,4.76 ,1.17 ,1.94 ,0.43 ,2.07 ,1.2645,741020,1647305,1834480.94,794688.77,494619.23,545172.94,14720536.56,11178331.05,856164.0082,2548555.231,137486.268,2578178.75,940343.87,1637834.88,707226.81,755685.6,88.8225,96.65141,2009Q1,96.98925,132549,154133,65.6,140707,59.9,113607,27069,13426,8.7,20.9,12.3,872,80953,2106,685,738,348,4.2,-13.5,-7.4,4,-13.4,-7.4,113.6,162.3,110.7,91.8,5.9,11523.2,37604,306438
6/30/2009,2009Q2,215.693,646.121,218.03,218.071,183.735,131022,0.21,3.25,0.595,2590458.75,963445.04,1627013.7,15134117,10417334,3359644,953998,2413723,7057538,1872287,2073883,1693199,508950,627802,568628,380396,-228315,-445241,1707886,1140151,566884,2153127,1737976,411354,3313168,1289658,836397,453321,2024913,-20937,915.5,0.151935,0.00237,-0.000796,0.003169,0.025187,0.151935,48.144762,330.43,8.14 ,4.85 ,2.38 ,3.76 ,2.13 ,6.37 ,2.28 ,5.58 ,2.46 ,2.43 ,0.45 ,2.71 ,1.1264,771976,1683704,1757854.3,768923.93,480691.7,508238.67,14672697.53,11133310.06,866181.0311,2532902.851,140303.586,2548868.54,927379.24,1621489.3,712319.15,742021.83,88.8461,98.47426,2009Q2,98.19051,131022,154716,65.7,140009,59.4,112745,27459,14707,9.5,23.9,17.2,1001,80938,2176,793,734,342,8.3,1.6,7.7,8.4,1.7,7.9,120,222.1,111.2,91.9,6.7,11624,37852,307090
9/30/2009,2009Q3,215.969,646.948,217.617,217.178,183.932,130255,0.15,3.25,0.28688,2573284.62,946488.84,1626795.78,15189222,10489202,3418212,1000329,2421398,7070683,1868013,2081553,1683325,474321,643731,574459,398070,-245126,-472962,1769969,1195832,573702,2242931,1823761,416594,3321897,1301289,842781,458568,2021829,-999,1053,0.150191,0.002248,-0.00048,0.00273,0.017844,0.150191,47.014844,327.97,8.95 ,4.70 ,2.51 ,4.35 ,2.62 ,6.94 ,2.41 ,5.92 ,2.37 ,2.57 ,0.55 ,2.89 ,1.0816,884206,1801165,1705655.28,752414.36,468742.05,484498.87,14574896.24,11054350.01,869717.1144,2507676.767,143152.349,2558787.97,916524.11,1642263.86,746522.52,736793.6,90.5106,99.97091,2009Q3,98.77425,130255,153827,65.1,138818,58.7,111513,27273,15009,9.8,26.6,17.8,1153,82495,2219,706,738,342,6.8,-3.7,-0.5,6.4,-3.6,-0.8,121.3,228.5,111.9,91.9,5.9,11562.2,37561,307826
12/31/2009,2009Q4,215.949,646.887,218.049,215.523,188.318,129781,0.12,3.25,0.25063,2555016.64,916076.63,1638940.01,15356058,10473645,3399911,976736,2429139,7073436,2040736,2091992,1694541,434143,673521,591921,397247,-56829,-477282,1874467,1278805,595489,2351750,1927255,422919,3328046,1320968,852310,468709,2007917,-16312,1110.75,0.054843,0.000877,-0.000201,0.001087,0.015507,0.054843,113.898906,324.04,9.58 ,4.59 ,2.18 ,4.30 ,3.12 ,7.30 ,2.75 ,5.75 ,0.66 ,2.27 ,0.50 ,2.91 ,1.0537,1099831,2026220,1622425.27,710913.8,447884.52,463626.95,14480818.49,10994538.48,865202.2566,2475078.17,145999.577,2555016.64,916076.63,1638940.01,771699.74,719083.99,90.4854,100.5272,2009Q4,98.97566,129781,153111,64.6,138013,58.3,110559,27479,15098,9.9,29.7,20.1,1241,83813,2486,929,748,346,5.7,-3.2,-0.9,5.6,-3.1,-0.8,124.4,249.7,113,91.9,5.9,11607.5,37626,308495
3/31/2010,2010Q1,217.631,651.925,219.378,216.023,192.13,129919,0.16,3.25,0.2915,2536745.25,898344.43,1638400.82,15415145,10525432,3425486,988680,2442066,7099840,2087171,2090981,1706372,405110,721129,581932,384436,-5012,-505943,1902612,1315882,586822,2408555,1984944,422680,3315216,1336126,857060,479087,1979494,-13758,1165.25,0.049066,0.000823,-0.000221,0.001043,0.013619,0.049066,40.94082,321.15,10.02 ,4.72 ,2.22 ,3.95 ,3.03 ,7.40 ,2.35 ,6.60 ,1.58 ,2.10 ,1.05 ,3.02 ,1.0229,1143627,2079591,1586897.95,692658.01,434603.21,459636.73,14326779.62,10863614.39,861790.0264,2453378.379,147996.825,2493129.43,854371.41,1638758.02,800069.82,717949.95,92.6395,101.257,2010Q1,99.23128,129919,153954,64.9,138751,58.5,111162,27558,15202,9.9,31.6,20.4,1146,83206,2255,994,754,347,1.2,-4.2,-3.7,1.8,-4.5,-3.4,126.3,262.4,113.7,91.4,5.7,11644.3,37672,309095
6/30/2010,2010Q2,217.965,652.926,219.562,216.778,192.651,130522,0.18,3.25,0.53394,2520000.98,877160.13,1642840.85,15557277,10609148,3472184,1019841,2455463,7137071,2196706,2167057,1762334,416758,768114,579033,404411,33251,-572557,1947618,1353663,594099,2520175,2094012,425981,3326546,1353885,863145,490711,1972804,-11093,1026.5,-0.119073,-0.001858,0.000104,-0.00196,0.02168,-0.119073,46.87619,324.2,9.96 ,4.25 ,2.03 ,3.62 ,3.31 ,7.21 ,2.21 ,6.56 ,1.35 ,1.85 ,0.54 ,2.90 ,1.0376,1058765,2002433,1543916.76,677809.06,417109.11,448998.59,14210564.1,10795945.61,857536.2391,2407064.838,150017.412,2478451.72,841118.4,1637333.33,811148.77,708062.85,96.3027,100.6074,2010Q2,99.29465,130522,153616,64.6,139141,58.5,112608,26658,14474,9.4,34.5,25.2,1174,84075,2591,1207,740,340,1.2,3.1,4.5,1.3,3.3,4.8,125.2,245.8,114.4,91.5,6.9,11856.6,38289,309657
9/30/2010,2010Q3,218.439,654.346,220.586,216.602,192.412,130365,0.19,3.25,0.29,2519335.41,859631.69,1659703.72,15671967,10683342,3498301,1035873,2464634,7185175,2294672,2178727,1810054,410711,809482,590262,368573,128825,-611021,2001560,1384113,617437,2612581,2176520,436189,3303891,1348144,861444,486677,1955820,-14351,1136.75,0.107404,0.001666,0.000045,0.001615,0.017751,0.107404,70.983906,321.84,9.70 ,4.00 ,1.80 ,3.30 ,3.15 ,6.89 ,2.05 ,5.48 ,1.02 ,1.71 ,0.74 ,2.53 ,1.033,1006743,1961226,1521043.79,666627.91,406379.09,448036.79,14105517.11,10723302.91,861984.5809,2368171.846,152057.768,2503855.11,829054.39,1674800.72,845804.78,698415.13,96.163,100.5118,2010Q3,99.27991,130365,153975,64.6,139396,58.5,111926,27459,14579,9.5,33.4,20.3,1217,84347,2548,1209,740,339,2.6,-0.6,0.8,2.3,-0.5,0.6,125.7,247.1,114.7,91.8,6.7,11899,38345,310311
12/31/2010,2010Q4,219.179,656.563,221.278,216.142,198.28,130834,0.18,3.25,0.30281,2646811.26,839102.67,1807708.59,15750625,10753999,3546923,1064872,2482989,7207373,2287362,2220005,1845235,418555,825900,601312,374671,72068,-574115,2059623,1421172,638412,2633738,2195451,438388,3283262,1346232,863640,482608,1936991,-6097,1253,0.102265,0.00155,-0.000017,0.001566,0.012235,0.102265,148.671875,313,9.11 ,3.63 ,1.50 ,2.98 ,2.66 ,6.38 ,1.99 ,4.91 ,0.23 ,1.29 ,0.73 ,2.23 ,1.0081,1035074,2017000,1518176.18,827673.57,317771.58,372731.03,13895993.13,10524405.73,865840.401,2351647.237,154099.755,2646811.26,839102.67,1807708.59,855483.43,713496.27,95.69,101.149,2010Q4,99.52033,130834,153650,64.3,139301,58.3,111900,27419,14348,9.3,34.7,21.9,1306,85240,2609,1318,752,344,0.8,0.8,-1.6,1.1,0.8,-1.4,131,285.2,116.4,92,7.1,12026.9,38683,310907
3/31/2011,2011Q1,223.467,669.409,225.479,217.707,211.014,131314,0.14,3.25,0.303,2672780.11,835995.25,1836784.86,15712754,10799741,3564614,1074190,2491252,7235230,2244241,2216194,1842734,387827,846344,607427,373402,32763,-573723,2077113,1436817,640266,2650836,2220768,430236,3243232,1327709,847813,479886,1915536,-4994,1321,0.05427,0.000885,-0.000298,0.001186,0.013196,0.05427,37.122742,307.55,9.08 ,3.43 ,1.20 ,2.45 ,2.38 ,6.20 ,1.66 ,4.39 ,0.53 ,1.17 ,0.43 ,1.98 ,0.9766,1391358,2395330,1496916.26,814946.14,310305.6,371664.52,13807106.76,10460923.16,862253.7972,2326600.056,157329.744,2628600.92,791950.82,1836650.1,896848.42,730138.75,96.4198,101.2418,2011Q1,99.26824,131314,153376,64.2,139639,58.4,112350,27282,13737,9,39.1,21.5,1287,85623,2434,921,755,341,-3.1,10.3,2.4,-2.9,10.5,2.8,139.3,343.7,118.7,92.6,7,12069.3,38758,311400
6/30/2011,2011Q2,225.722,676.162,227.451,219.553,216.88,131952,0.09,3.25,0.24575,2694725.93,836588.5,1858137.43,15825096,10823654,3551471,1066599,2485975,7272332,2336057,2268001,1890366,414764,858048,617376,377635,71305,-555779,2110776,1456514,654346,2666555,2222827,443732,3221366,1322943,851375,471592,1898381,-4586,1315.5,-0.004164,-0.000035,-0.000036,0.000003,0.012864,-0.004164,43.5,309.86,8.97 ,3.27 ,1.09 ,2.11 ,2.20 ,5.96 ,1.58 ,3.43 ,0.25 ,0.87 ,0.29 ,1.69 ,0.9766,1622346,2648548,1467044.36,807581.84,298200.03,361262.49,13707326.48,10392531.09,859269.4165,2294929.685,160596.289,2653478.91,800410.34,1853068.57,905157.16,734534.6,98.2874,100.3452,2011Q2,99.09497,131952,153346,64,139384,58.2,112001,27469,13962,9.1,39.9,22.4,1242,86144,2680,982,753,334,1.1,-2.9,-6.2,1.1,-3.3,-6.6,142.2,359,120.1,92.7,7.2,12091,38759,311956
